optimizer,lr,best_val_acc,best_epoch,epochs_run,final_train_acc,final_val_loss
sgd,0.01,1.0,10,15,0.9816517938444728,0.004602864381428614
sgd,0.001,0.8909124021125479,15,15,0.6547077035148424,0.5669490706397414
sgd,0.0001,0.25277727189947186,15,15,0.10330540885084684,2.9841888514053103
adam,0.01,1.0,9,14,0.9734565652886542,0.002622003886360893
adam,0.001,1.0,5,10,0.9836095428883628,0.0016003700787009187
adam,0.0001,1.0,13,15,0.9707248224367147,0.0058624936909533725
rmsprop,0.01,0.9987251866690949,5,10,0.9455472591513385,0.008504886812379675
rmsprop,0.001,1.0,8,13,0.9841558914587507,0.000712007405933032
rmsprop,0.0001,1.0,11,15,0.9754598433800765,0.009312345670236631
